        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                       7                     -0.11192822
               7.0050001                      -0.1113567
               7.0099998                     -0.11083391
               7.0149999                      -0.1103669
               7.0200005                     -0.10996132
               7.0250001                      -0.1096218
               7.0300002                     -0.10935045
               7.0349998                      -0.1091512
                    7.04                       -0.109026
               7.0450001                      -0.1089771
               7.0499997                     -0.10900209
               7.0549998                     -0.10910278
               7.0599999                     -0.10927592
               7.0650001                     -0.10951946
               7.0700002                     -0.10983116
               7.0749998                     -0.11020495
               7.0799999                     -0.11063689
                   7.085                     -0.11112251
               7.0899997                     -0.11165463
               7.0950003                     -0.11222674
               7.1000004                     -0.11283263
                   7.105                     -0.11346459
               7.1100001                     -0.11411575
               7.1149998                     -0.11477767
               7.1199999                     -0.11544364
                   7.125                      -0.1161051
               7.1299996                     -0.11675681
               7.1350002                     -0.11738845
               7.1399999                     -0.11799604
                   7.145                       -0.118571
               7.1500001                     -0.11910919
               7.1549997                     -0.11960473
               7.1599998                     -0.12005231
                   7.165                     -0.12044823
               7.1700001                     -0.12078978
               7.1750002                     -0.12107305
               7.1800003                      -0.1212969
               7.1849999                     -0.12146074
               7.1900001                     -0.12156262
               7.1949997                     -0.12160625
               7.1999998                     -0.12158908
               7.2050004                     -0.12151584
                    7.21                     -0.12138881
               7.2150002                     -0.12121009
               7.2199998                     -0.12098529
               7.2249999                     -0.12071932
                    7.23                     -0.12041506
               7.2349997                     -0.12007956
               7.2399998                      -0.1197191
               7.2450004                     -0.11933908
                    7.25                     -0.11894662
               7.2550001                     -0.11854759
               7.2600002                     -0.11814917
               7.2649999                     -0.11775722
                    7.27                      -0.1173789
               7.2749996                     -0.11701965
               7.2800002                     -0.11668581
               7.2850003                     -0.11638314
                    7.29                     -0.11611722
               7.2950001                     -0.11589237
               7.2999997                     -0.11571249
               7.3049998                     -0.11558105
               7.3099999                     -0.11550288
               7.3149996                     -0.11547891
               7.3200002                     -0.11551137
               7.3250003                      -0.1156007
               7.3299999                     -0.11574884
                   7.335                     -0.11595456
               7.3400002                     -0.11621653
               7.3449998                     -0.11653409
               7.3499999                     -0.11690451
                   7.355                     -0.11732614
               7.3600001                     -0.11779364
               7.3650002                     -0.11830497
               7.3699999                      -0.1188555
                   7.375                     -0.11944026
               7.3799996                     -0.12005367
               7.3849998                     -0.12069196
               7.3900003                      -0.1213476
                   7.395                     -0.12201679
               7.4000001                     -0.12269366
               7.4050002                     -0.12337179
               7.4099998                     -0.12404478
                   7.415                     -0.12470934
               7.4200001                     -0.12535945
               7.4249997                     -0.12599018
               7.4300003                      -0.1265954
               7.4349999                      -0.1271727
               7.4400001                     -0.12771788
               7.4450002                     -0.12822771
               7.4499998                     -0.12869948
               7.4549999                     -0.12913043
               7.4599996                     -0.12951908
               7.4650002                     -0.12986443
               7.4700003                     -0.13016608
               7.4749999                     -0.13042493
                    7.48                     -0.13064024
               7.4850001                     -0.13081536
               7.4899998                     -0.13095023
               7.4949999                     -0.13104786
               7.5000005                     -0.13111107
               7.5050001                     -0.13114515
               7.5100002                     -0.13115054
               7.5149999                     -0.13113401
                    7.52                     -0.13109961
               7.5250001                     -0.13105075
               7.5299997                     -0.13099345
               7.5349998                     -0.13093364
                    7.54                     -0.13087476
               7.5450001                     -0.13082225
               7.5500002                     -0.13078108
               7.5549998                     -0.13075779
               7.5599999                     -0.13075527
               7.5650001                     -0.13077943
               7.5699997                      -0.1308327
               7.5750003                     -0.13092169
               7.5800004                     -0.13104718
                   7.585                     -0.13121377
               7.5900002                     -0.13142397
               7.5949998                      -0.1316798
               7.5999999                     -0.13198266
                   7.605                      -0.1323335
               7.6099997                      -0.1327339
               7.6150002                     -0.13318285
               7.6199999                     -0.13368047
                   7.625                     -0.13422571
               7.6300001                     -0.13481594
               7.6349998                     -0.13545145
               7.6399999                     -0.13612682
                   7.645                     -0.13684269
               7.6500001                     -0.13759303
               7.6550002                     -0.13837436
               7.6600003                     -0.13918347
                   7.665                     -0.14001767
               7.6700001                     -0.14087022
               7.6749997                      -0.1417381
               7.6799998                     -0.14261586
               7.6850004                     -0.14349968
               7.6900001                     -0.14438434
               7.6950002                      -0.1452662
               7.6999998                     -0.14614059
               7.7049999                     -0.14700356
                    7.71                      -0.1478516
               7.7149997                     -0.14867977
               7.7199998                     -0.14948674
               7.7250004                     -0.15026911
                    7.73                     -0.15102345
               7.7350001                     -0.15174949
               7.7400002                     -0.15244481
               7.7449999                     -0.15310895
                    7.75                     -0.15374117
               7.7549996                     -0.15434129
               7.7600002                     -0.15490961
               7.7650003                     -0.15544788
                    7.77                      -0.1559573
               7.7750001                     -0.15643963
               7.7799997                     -0.15689794
               7.7849998                      -0.1573332
                    7.79                     -0.15775074
               7.7949996                     -0.15815248
               7.8000002                     -0.15854305
               7.8050003                     -0.15892598
               7.8099999                     -0.15930552
               7.8150001                     -0.15968575
               7.8200002                     -0.16007223
               7.8249998                     -0.16046684
               7.8299999                      -0.1608758
                   7.835                     -0.16130312
               7.8400002                     -0.16175345
               7.8450003                     -0.16223045
               7.8499999                     -0.16273658
                   7.855                     -0.16327685
               7.8599997                      -0.1638545
               7.8649998                     -0.16447097
               7.8700004                     -0.16512995
                   7.875                      -0.1658332
               7.8800001                     -0.16658214
               7.8850002                     -0.16737764
               7.8899999                      -0.1682224
                   7.895                     -0.16911352
               7.9000001                     -0.17005307
               7.9049997                     -0.17103983
               7.9100003                     -0.17207261
                   7.915                     -0.17314943
               7.9200001                     -0.17426774
               7.9250002                     -0.17542746
               7.9299998                     -0.17662462
               7.9349999                     -0.17785549
               7.9399996                     -0.17911814
               7.9450002                     -0.18040784
               7.9500003                     -0.18172134
               7.9549999                     -0.18305537
                    7.96                     -0.18440521
               7.9650002                     -0.18576745
               7.9699998                     -0.18713744
               7.9749999                     -0.18851237
                    7.98                     -0.18988731
               7.9850001                     -0.19125912
               7.9900002                     -0.19262458
               7.9949999                     -0.19398115
                       8                     -0.19532316
               8.0050001                     -0.19665133
               8.0100002                     -0.19796189
               8.0150003                     -0.19925272
               8.0199995                     -0.20052386
               8.0249996                     -0.20177328
               8.0299997                      -0.2029991
               8.0349998                     -0.20420492
                    8.04                     -0.20538722
               8.0450001                     -0.20654778
               8.0500002                     -0.20768982
               8.0550003                     -0.20881323
               8.0600004                      -0.2099202
               8.0649996                     -0.21101275
               8.0699997                     -0.21209579
               8.0749998                     -0.21316928
               8.0799999                     -0.21423856
                   8.085                     -0.21530663
               8.0900002                     -0.21637768
               8.0950003                     -0.21745566
               8.0999994                     -0.21854318
               8.1049995                     -0.21964614
               8.1099997                     -0.22076831
               8.1149998                     -0.22191318
               8.1199999                     -0.22308476
                   8.125                     -0.22428761
               8.1300001                     -0.22552339
               8.1350002                     -0.22679806
               8.1400003                     -0.22811314
               8.1449995                     -0.22947093
               8.1500006                     -0.23087621
               8.1549997                     -0.23233017
               8.1599998                     -0.23383308
                   8.165                     -0.23538812
               8.1700001                     -0.23699546
               8.1750002                       -0.238656
               8.1799994                     -0.24036918
               8.1849995                     -0.24213559
               8.1900005                     -0.24395365
               8.1949997                     -0.24582185
               8.1999998                     -0.24773972
               8.2049999                     -0.24970541
                    8.21                     -0.25171527
               8.2150002                     -0.25376834
               8.2200003                     -0.25586035
               8.2250004                     -0.25798918
               8.2300005                     -0.26015246
               8.2349997                     -0.26234393
               8.2399998                     -0.26456172
               8.2449999                     -0.26680288
                    8.25                     -0.26906191
               8.2550001                     -0.27133701
               8.2599993                     -0.27362482
               8.2650003                     -0.27592017
               8.2700005                     -0.27822208
               8.2749996                     -0.28052455
               8.2799997                     -0.28282753
               8.2849998                     -0.28512742
                    8.29                     -0.28742193
               8.2950001                     -0.28970969
               8.3000002                     -0.29198964
               8.3050003                     -0.29426041
               8.3100004                     -0.29652076
               8.3149996                     -0.29877146
               8.3199997                     -0.30101185
               8.3249998                      -0.3032438
               8.3299999                     -0.30546848
                   8.335                     -0.30768615
               8.3400002                     -0.30989968
               8.3450003                     -0.31211104
               8.3500004                     -0.31432183
               8.3549995                     -0.31653716
               8.3599997                     -0.31875953
               8.3649998                     -0.32099275
               8.3699999                     -0.32323897
                   8.375                     -0.32550464
               8.3800001                     -0.32779071
               8.3850002                     -0.33010434
               8.3900003                     -0.33244808
               8.3949995                     -0.33482527
               8.3999996                     -0.33724238
               8.4049997                     -0.33970127
               8.4099998                     -0.34220631
                   8.415                     -0.34476168
               8.4200001                     -0.34737072
               8.4250002                     -0.35003525
               8.4300003                     -0.35275943
               8.4349995                     -0.35554583
               8.4399996                     -0.35839437
               8.4450006                     -0.36130966
               8.4499998                     -0.36429195
               8.4549999                     -0.36734045
                    8.46                     -0.37045817
               8.4650002                     -0.37364346
               8.4700003                     -0.37689523
               8.4749994                     -0.38021494
               8.4799995                     -0.38359972
               8.4850006                     -0.38704824
               8.4899998                     -0.39055939
               8.4949999                     -0.39413029
                     8.5                     -0.39775798
               8.5050001                     -0.40144069
               8.5100002                     -0.40517513
               8.5149994                     -0.40895644
               8.5200005                     -0.41278404
               8.5250006                     -0.41665192
               8.5299997                     -0.42055819
               8.5349998                     -0.42449957
                    8.54                     -0.42847107
               8.5450001                     -0.43247107
               8.5500002                     -0.43649628
               8.5549994                     -0.44054195
               8.5600004                     -0.44460778
               8.5650005                     -0.44869112
               8.5699997                     -0.45278813
               8.5749998                      -0.4568995
               8.5799999                     -0.46102056
                   8.585                     -0.46515394
               8.5900002                     -0.46929723
               8.5950003                     -0.47345161
               8.6000004                     -0.47761589
               8.6049995                     -0.48179238
               8.6099997                     -0.48598105
               8.6149998                     -0.49018605
               8.6199999                     -0.49440733
                   8.625                     -0.49864738
               8.6299992                     -0.50291197
               8.6350002                     -0.50720104
               8.6400003                     -0.51152073
               8.6450005                     -0.51587349
               8.6500006                     -0.52026425
               8.6549997                     -0.52469846
               8.6599998                     -0.52917877
                   8.665                     -0.53371174
               8.6700001                     -0.53830093
               8.6750002                      -0.5429517
               8.6799994                     -0.54767006
               8.6849995                     -0.55245799
               8.6899996                     -0.55732218
               8.6949997                     -0.56226751
               8.6999998                     -0.56729724
               8.7050009                     -0.57241483
                    8.71                     -0.57762424
               8.7150002                     -0.58293028
               8.7200003                     -0.58833308
               8.7250004                     -0.59383841
               8.7300005                     -0.59944571
               8.7349997                     -0.60515841
               8.7399998                     -0.61097618
               8.7449999                     -0.61690195
                    8.75                      -0.6229347
               8.7550001                     -0.62907432
               8.7600002                     -0.63532093
               8.7649994                     -0.64167335
               8.7699995                     -0.64813077
               8.7749996                     -0.65469092
               8.7800007                     -0.66135216
               8.7850008                     -0.66811128
                    8.79                     -0.67496752
               8.7950001                     -0.68191684
               8.8000002                     -0.68895661
               8.8050003                     -0.69608357
               8.8100004                     -0.70329488
               8.8149996                     -0.71058839
               8.8199997                     -0.71795917
               8.8249998                     -0.72540643
               8.8299999                     -0.73292675
                   8.835                     -0.74051714
               8.8399992                      -0.7481745
               8.8449993                     -0.75590029
               8.8499994                     -0.76368952
               8.8550005                     -0.77154134
               8.8600006                     -0.77945607
               8.8650007                     -0.78743426
               8.8699999                     -0.79547495
                   8.875                     -0.80357869
               8.8800001                     -0.81174657
               8.8850002                     -0.81998157
               8.8900003                     -0.82828585
               8.8949995                     -0.83666093
               8.8999996                     -0.84511168
               8.9049997                     -0.85364223
               8.9099998                     -0.86225623
                   8.915                      -0.8709588
               8.9200001                     -0.87975487
               8.9249992                     -0.88865022
               8.9300003                     -0.89765231
               8.9350004                     -0.90676734
               8.9400005                     -0.91600004
               8.9450006                      -0.9253594
               8.9499998                     -0.93485207
               8.9549999                     -0.94448504
                    8.96                     -0.95426547
               8.9650002                     -0.96420083
               8.9700003                     -0.97429853
               8.9749994                     -0.98456505
               8.9799995                      -0.9950079
               8.9849997                      -1.0056342
               8.9899998                      -1.0164489
               8.9949999                      -1.0274593
                8.999999                      -1.0386717
               9.0050001                        -1.05009
               9.0100002                      -1.0617196
               9.0150003                      -1.0735651
               9.0200005                      -1.0856315
               9.0250006                      -1.0979213
               9.0299997                      -1.1104382
